Symbol,SMA,EMA,MACD,ADX,RSI,ROC,OBV,MFI
A,122.55749481201173,123.12650964490182,4.7020983105064715,16.615533777259742,57.88346910652443,26.68798679456352,-2850100.0,63.6574900569921
AAPL,221.92627906799316,229.23093687611367,6.293902329666878,22.283017919889588,58.698436718254264,26.092370383711263,852843300.0,70.62500371521213
ABBV,193.6098038482666,205.85320524533904,5.828600461866159,26.839681833349662,59.57169060555554,24.435785751676597,55866400.0,56.908616505642506
ABNB,129.75497554779054,127.29478007916288,-1.5515255519690925,11.996718603586697,46.149884549353935,-7.305966631727545,54822100.0,35.17331322004681
ABT,129.07498413085938,131.32851127435586,0.3585322293294553,7.2594198745075476,51.768533769258084,0.2533356084615912,172680800.0,50.50244797815048
ACGL,91.41329998016357,90.81654311465341,0.5618334075650608,10.904023642847786,50.633313384006925,-4.196523763381455,-17872400.0,57.59267342751764
ACN,303.17471717834474,268.7976140742958,0.08625269881343911,24.043301274996914,44.43158302927029,-19.451608281570188,-29024000.0,44.47223338245926
ADBE,390.7291995239258,368.1414602442159,-2.0223693119662585,15.495784932778859,45.38646538977812,-13.864648865149299,-83019200.0,53.13034259501783
ADI,220.73370933532715,234.46730972576978,-1.465520091877437,11.995148697176006,51.54589023367701,11.352117508927972,-14888500.0,46.05123283123507
ADM,51.52428970336914,56.9989916267689,0.3157116691057169,16.23623680765739,56.05221630304717,28.55708786768578,-83323200.0,44.609616626480374
ADP,299.76952896118166,298.30954791967173,-1.9700238971301474,29.264143055429304,45.74194577869353,-11.35332592848155,17021900.0,52.994320272673804
ADSK,292.29740005493164,304.24789024132593,0.9946303744196143,16.399211033811046,52.11122452483106,5.100588315548804,-620800.0,66.26964981470638
AEE,96.50778617858887,99.02875523107635,1.1230963237112945,11.232560062071851,55.375205962472066,7.576027413033248,44351000.0,50.481865688533546
AEP,103.7145456314087,108.17293848713102,2.006214835537193,15.723337690084717,58.76628037951055,14.241029822448702,95772400.0,56.2106284020636
AES,11.680363221168518,12.740086317926904,0.4255715581157631,13.194084124526553,55.97612708342725,45.06532508339636,-35720200.0,57.11509444208161
AFL,104.65806018829346,106.26862729190542,1.458561655388479,15.330457314187447,54.598105409003395,7.684505923940588,59245500.0,50.22463547401442
AIG,79.35012107849121,79.98382839123424,1.0954730700092483,18.69641438213281,53.51349098547582,-1.9358684213982569,17316000.0,55.031771739945945
AIZ,202.38472328186035,205.99170807464085,2.5895441143149753,20.787327530055503,55.242287517115166,7.784870828733559,10877600.0,59.627753456773966
AJG,313.0755790710449,306.1995057200643,2.3071423711101033,13.399013700675775,48.668550899730874,-12.977861042095974,3320900.0,56.270731491164085
AKAM,81.73729991912842,78.081566891875,-0.05345701787774715,6.677135194101891,47.21642345214227,-0.879609012802196,-11010900.0,37.73804817091164
ALB,72.9160500907898,77.04308112984951,3.656479612910715,17.793955269314058,57.82988491238572,77.26737196904799,32667900.0,63.81139094979479
ALGN,175.72315029144286,154.79564588261493,-2.4561884873318434,27.80885129425976,42.943874360436425,-26.12738828349602,-29585500.0,39.46593773121306
ALL,197.39177001953124,202.36384183640843,2.150636119507624,10.595679407926644,52.897694869000034,-0.7547896335025839,10083100.0,59.42147200180856
ALLE,144.43549873352052,161.77857251730217,1.6392890900306156,36.28867269716881,58.74067710728321,26.316368244750056,22829400.0,63.38813904192786
AMAT,170.3794436645508,181.54763497231286,12.106136550271373,20.412197120619798,59.5681726859618,40.47904764934991,-26970300.0,69.9049091801506
AMCR,9.201872673034668,8.799306058681822,-0.15468976852693217,21.33743217610462,40.510222690019305,-13.399774054164693,-846757600.0,30.69865639357654
AMD,129.97609985351562,155.83688080328724,14.261086084062782,17.45785765148762,67.37205601416683,103.16671462077025,910688600.0,74.34825045533105
AME,179.03756896972655,182.52867855438322,-0.7249372773181051,13.313723391238222,51.01743120547513,4.314025279735922,-382700.0,41.77851447340394
AMGN,285.20094993591306,286.7446325921434,3.1743360867503725,10.05476848815752,51.836011316275666,3.243527449416206,51623900.0,60.07089278696894
AMP,508.22089721679686,504.6465028953491,-2.650300447837992,10.564893004290688,47.95680707336218,-3.3672453854921014,8334400.0,37.73062132587003
AMT,202.175659866333,202.09327067879585,-3.323221128885791,17.279425628731886,42.85579717124076,-11.996159030958175,26347500.0,38.655802324411766
AMZN,214.52245025634767,220.80686742118792,-1.2299139140635589,10.63027111816841,52.684657225721374,10.205667660093987,624939700.0,46.028973486088724
ANET,107.6464994430542,125.7616430004496,3.9400485385702098,17.978118112904443,61.019996282134734,76.24192234231424,365550000.0,64.81600149525882
AON,367.3855793762207,362.8237627003145,-0.08898638037112505,9.539818004582058,49.37153240579062,-3.9832942499452906,4348300.0,49.77697791736377
AOS,67.88152128219605,70.457167271718,-0.22386645268687744,22.554095130724892,49.02908488494514,11.19875681369329,-35836700.0,47.022068942558995
APA,20.0074023103714,21.357699237409246,0.5825286962616723,23.909894804811717,54.4031959915391,38.38627839187201,66824000.0,55.17185227862825
APD,285.94981575012207,282.553573387891,-5.330334625347916,10.63815656193954,43.929200406182126,-4.508567736281776,16299300.0,34.63098441837476
APH,87.52413669586181,106.23435401392342,2.988909058727401,21.25741895017411,65.63806456035141,40.16017444130622,275644800.0,61.747240180517394
APO,142.16021976470947,137.9591341578919,-3.6179064020251985,11.393280002523513,44.37598074144003,-5.000262248131793,83146100.0,53.6699839603089
APP,385.89310050964355,477.6020980383433,29.39211554116787,26.408443910771762,58.467154049643334,49.36677411715162,319865100.0,75.99042848781795
